"user_id","days_since_last_session","total_sessions_count","total_orders_count","is_churned"
1,8,17,2,0
2,999,0,0,1
3,3,3,0,0
4,103,2,0,1
5,36,2,0,1
6,10,4,0,0
7,3,4,0,0
8,1,13,0,0
9,21,7,0,0
10,5,15,9,0
11,50,7,0,1
12,42,1,0,1
13,999,0,0,1
14,8,4,0,0
15,23,4,0,0
16,121,1,0,1
17,66,3,0,1
18,22,3,0,0
19,8,6,0,0
20,41,1,0,1
21,12,26,8,0
22,20,5,0,0
23,2,1,0,0
24,58,3,0,1
25,6,4,0,0
26,999,0,0,1
27,36,1,0,1
28,88,2,0,1
29,7,6,0,0
30,2,11,0,0
31,250,1,0,1
32,2,17,0,0
33,44,2,0,1
34,2,13,3,0
35,10,17,1,0
36,35,1,0,1
37,4,23,7,0
38,33,4,0,1
39,12,10,0,0
40,171,1,0,1
41,31,4,0,1
42,28,2,0,0
43,49,2,0,1
44,146,2,0,1
45,51,8,0,1
46,3,11,0,0
47,34,4,0,1
48,1,14,0,0
49,6,11,1,0
50,3,33,13,0
51,96,2,0,1
52,208,1,0,1
53,2,8,0,0
54,7,4,0,0
55,55,1,0,1
56,18,1,0,0
57,23,4,0,0
58,80,1,0,1
59,3,16,1,0
60,44,1,0,1
61,58,1,0,1
62,15,1,0,0
63,4,6,0,0
64,21,2,0,0
65,14,8,0,0
66,24,7,0,0
67,18,3,0,0
68,6,5,0,0
69,8,11,2,0
70,18,3,0,0
71,19,5,0,0
72,5,7,0,0
73,266,1,0,1
74,24,1,0,0
75,11,5,0,0
76,3,3,0,0
77,35,2,0,1
78,7,7,0,0
79,11,3,0,0
80,10,4,0,0
81,36,1,0,1
82,17,5,0,0
83,6,14,3,0
84,1,13,0,0
85,225,2,0,1
86,4,11,0,0
87,19,2,0,0
88,7,2,0,0
89,2,3,0,0
90,5,25,6,0
91,43,6,1,1
92,36,5,0,1
93,3,9,0,0
94,4,12,0,0
95,24,2,0,0
96,27,2,0,0
97,3,12,0,0
98,18,7,0,0
99,1,8,0,0
100,58,2,0,1
101,10,8,0,0
102,12,5,0,0
103,1,7,0,0
104,16,19,8,0
105,5,17,5,0
106,6,16,0,0
107,12,4,0,0
108,2,4,0,0
109,4,6,0,0
110,25,2,0,0
111,120,2,0,1
112,31,13,0,1
113,15,9,0,0
114,34,1,0,1
115,47,4,0,1
116,6,3,0,0
117,999,0,0,1
118,1,5,0,0
119,116,1,0,1
120,30,12,1,0
121,30,5,0,0
122,19,11,0,0
123,7,5,1,0
124,2,6,0,0
125,57,3,0,1
126,80,1,0,1
127,999,0,0,1
128,7,6,0,0
129,216,3,0,1
130,62,3,0,1
131,56,8,0,1
132,61,1,0,1
133,140,1,0,1
134,4,5,0,0
135,69,3,0,1
136,67,3,0,1
137,42,1,0,1
138,3,23,6,0
139,9,8,1,0
140,4,8,0,0
141,34,4,0,1
142,8,4,0,0
143,35,6,0,1
144,6,13,4,0
145,5,9,1,0
146,9,7,0,0
147,83,1,0,1
148,14,6,0,0
149,10,4,0,0
150,2,2,0,0
151,3,5,0,0
152,61,2,0,1
153,126,3,0,1
154,1,6,0,0
155,7,6,0,0
156,208,1,0,1
157,255,1,0,1
158,11,1,0,0
159,999,0,0,1
160,16,4,0,0
161,147,1,0,1
162,20,6,0,0
163,10,5,0,0
164,21,5,0,0
165,34,1,0,1
166,31,5,0,1
167,1,8,0,0
168,15,1,0,0
169,225,1,0,1
170,8,6,0,0
171,34,10,1,1
172,46,3,0,1
173,6,12,0,0
174,1,13,0,0
175,13,3,0,0
176,11,25,8,0
177,2,4,0,0
178,13,9,1,0
179,13,2,0,0
180,12,6,0,0
181,999,0,0,1
182,5,16,3,0
183,86,5,0,1
184,78,2,0,1
185,18,5,0,0
186,5,8,0,0
187,7,3,0,0
188,222,2,0,1
189,216,1,0,1
190,1,18,1,0
191,93,1,0,1
192,67,1,0,1
193,999,0,0,1
194,7,5,0,0
195,9,2,0,0
196,10,9,0,0
197,7,7,1,0
198,54,4,0,1
199,4,2,0,0
200,310,1,0,1
201,71,2,0,1
202,5,14,0,0
203,25,6,0,0
204,5,2,0,0
205,5,6,0,0
206,88,2,0,1
207,45,2,0,1
208,29,6,0,0
209,5,26,13,0
210,7,5,0,0
211,64,6,0,1
212,47,2,0,1
213,59,8,0,1
214,16,3,0,0
215,323,1,0,1
216,5,20,4,0
217,6,8,1,0
218,8,7,0,0
219,8,4,0,0
220,11,8,0,0
221,143,1,0,1
222,27,3,0,0
223,69,4,0,1
224,7,23,10,0
225,12,4,0,0
226,18,6,0,0
227,132,2,0,1
228,9,20,5,0
229,7,4,0,0
230,150,3,0,1
231,3,14,5,0
232,91,1,0,1
233,20,7,0,0
234,120,7,0,1
235,9,8,0,0
236,12,3,0,0
237,29,5,0,0
238,39,3,0,1
239,28,8,0,0
240,3,5,0,0
241,1,6,0,0
242,1,5,0,0
243,25,21,3,0
244,4,4,0,0
245,12,16,8,0
246,6,4,0,0
247,11,5,0,0
248,12,12,1,0
249,53,3,0,1
250,2,6,0,0
251,3,9,0,0
252,38,1,0,1
253,4,10,0,0
254,13,7,0,0
255,2,13,1,0
256,6,6,0,0
257,8,3,0,0
258,63,4,0,1
259,999,0,0,1
260,2,2,0,0
261,6,2,0,0
262,1,11,0,0
263,40,5,0,1
264,53,2,0,1
265,3,29,9,0
266,11,3,0,0
267,2,7,0,0
268,999,0,0,1
269,208,1,0,1
270,39,5,0,1
271,10,1,0,0
272,15,3,0,0
