"user_id","days_since_last_session","total_sessions_count","total_orders_count","total_duration_minutes","is_churned"
1,8,17,2,811,0
2,999,0,0,0,1
3,3,3,0,32,0
4,103,2,0,24,1
5,36,2,0,11,1
6,10,4,0,49,0
7,3,4,0,56,0
8,1,13,0,401,0
9,21,7,0,151,0
10,5,15,9,5637,0
11,50,7,0,121,1
12,42,1,0,10,1
13,999,0,0,0,1
14,8,4,0,45,0
15,23,4,0,87,0
16,121,1,0,10,1
17,66,3,0,36,1
18,22,3,0,31,0
19,8,6,0,132,0
20,41,1,0,6,1
21,12,26,8,9382,0
22,20,5,0,108,0
23,2,1,0,7,0
24,58,3,0,33,1
25,6,4,0,47,0
26,999,0,0,0,1
27,36,1,0,9,1
28,88,2,0,14,1
29,7,6,0,92,0
30,2,11,0,294,0
31,250,1,0,13,1
32,2,17,0,487,0
33,44,2,0,15,1
34,2,13,3,1257,0
35,10,17,1,526,0
36,35,1,0,14,1
37,4,23,7,6528,0
38,33,4,0,97,1
39,12,10,0,287,0
40,171,1,0,24,1
41,31,4,0,40,1
42,28,2,0,20,0
43,49,2,0,21,1
44,146,2,0,42,1
45,51,8,0,162,1
46,3,11,0,336,0
47,34,4,0,28,1
48,1,14,0,397,0
49,6,11,1,291,0
50,3,33,13,20447,0
51,96,2,0,30,1
52,208,1,0,6,1
53,2,8,0,159,0
54,7,4,0,46,0
55,55,1,0,10,1
56,18,1,0,12,0
57,23,4,0,78,0
58,80,1,0,11,1
59,3,16,1,395,0
60,44,1,0,11,1
61,58,1,0,24,1
62,15,1,0,5,0
63,4,6,0,76,0
64,21,2,0,26,0
65,14,8,0,152,0
66,24,7,0,165,0
67,18,3,0,30,0
68,6,5,0,80,0
69,8,11,2,1009,0
70,18,3,0,35,0
71,19,5,0,61,0
72,5,7,0,190,0
73,266,1,0,5,1
74,24,1,0,13,0
75,11,5,0,179,0
76,3,3,0,33,0
77,35,2,0,19,1
78,7,7,0,192,0
79,11,3,0,33,0
80,10,4,0,79,0
81,36,1,0,14,1
82,17,5,0,103,0
83,6,14,3,1305,0
84,1,13,0,350,0
85,225,2,0,27,1
86,4,11,0,214,0
87,19,2,0,36,0
88,7,2,0,15,0
89,2,3,0,52,0
90,5,25,6,6553,0
91,43,6,1,133,1
92,36,5,0,45,1
93,3,9,0,212,0
94,4,12,0,377,0
95,24,2,0,29,0
96,27,2,0,18,0
97,3,12,0,463,0
98,18,7,0,138,0
99,1,8,0,186,0
100,58,2,0,37,1
101,10,8,0,224,0
102,12,5,0,76,0
103,1,7,0,132,0
104,16,19,8,6487,0
105,5,17,5,3763,0
106,6,16,0,540,0
107,12,4,0,53,0
108,2,4,0,66,0
109,4,6,0,148,0
110,25,2,0,34,0
111,120,2,0,23,1
112,31,13,0,189,1
113,15,9,0,160,0
114,34,1,0,11,1
115,47,4,0,61,1
116,6,3,0,85,0
117,999,0,0,0,1
118,1,5,0,53,0
119,116,1,0,18,1
120,30,12,1,446,0
121,30,5,0,81,0
122,19,11,0,174,0
123,7,5,1,101,0
124,2,6,0,269,0
125,57,3,0,41,1
126,80,1,0,8,1
127,999,0,0,0,1
128,7,6,0,118,0
129,216,3,0,56,1
130,62,3,0,81,1
131,56,8,0,179,1
132,61,1,0,4,1
133,140,1,0,14,1
134,4,5,0,86,0
135,69,3,0,32,1
136,67,3,0,76,1
137,42,1,0,16,1
138,3,23,6,5805,0
139,9,8,1,215,0
140,4,8,0,155,0
141,34,4,0,37,1
142,8,4,0,71,0
143,35,6,0,82,1
144,6,13,4,2208,0
145,5,9,1,274,0
146,9,7,0,141,0
147,83,1,0,6,1
148,14,6,0,225,0
149,10,4,0,91,0
150,2,2,0,12,0
151,3,5,0,51,0
152,61,2,0,37,1
153,126,3,0,75,1
154,1,6,0,166,0
155,7,6,0,104,0
156,208,1,0,12,1
157,255,1,0,13,1
158,11,1,0,10,0
159,999,0,0,0,1
160,16,4,0,66,0
161,147,1,0,6,1
162,20,6,0,73,0
163,10,5,0,60,0
164,21,5,0,112,0
165,34,1,0,19,1
166,31,5,0,112,1
167,1,8,0,150,0
168,15,1,0,22,0
169,225,1,0,7,1
170,8,6,0,119,0
171,34,10,1,329,1
172,46,3,0,54,1
173,6,12,0,302,0
174,1,13,0,373,0
175,13,3,0,58,0
176,11,25,8,8317,0
177,2,4,0,59,0
178,13,9,1,329,0
179,13,2,0,20,0
180,12,6,0,114,0
181,999,0,0,0,1
182,5,16,3,1717,0
183,86,5,0,112,1
184,78,2,0,45,1
185,18,5,0,88,0
186,5,8,0,144,0
187,7,3,0,51,0
188,222,2,0,30,1
189,216,1,0,7,1
190,1,18,1,586,0
191,93,1,0,22,1
192,67,1,0,10,1
193,999,0,0,0,1
194,7,5,0,128,0
195,9,2,0,33,0
196,10,9,0,161,0
197,7,7,1,163,0
198,54,4,0,73,1
199,4,2,0,27,0
200,310,1,0,6,1
201,71,2,0,18,1
202,5,14,0,397,0
203,25,6,0,126,0
204,5,2,0,34,0
205,5,6,0,147,0
206,88,2,0,20,1
207,45,2,0,20,1
208,29,6,0,127,0
209,5,26,13,15464,0
210,7,5,0,43,0
211,64,6,0,161,1
212,47,2,0,35,1
213,59,8,0,150,1
214,16,3,0,40,0
215,323,1,0,22,1
216,5,20,4,3637,0
217,6,8,1,237,0
218,8,7,0,187,0
219,8,4,0,85,0
220,11,8,0,251,0
221,143,1,0,6,1
222,27,3,0,73,0
223,69,4,0,63,1
224,7,23,10,10820,0
225,12,4,0,111,0
226,18,6,0,232,0
227,132,2,0,36,1
228,9,20,5,4195,0
229,7,4,0,90,0
230,150,3,0,39,1
231,3,14,5,2362,0
232,91,1,0,14,1
233,20,7,0,161,0
234,120,7,0,130,1
235,9,8,0,178,0
236,12,3,0,48,0
237,29,5,0,124,0
238,39,3,0,31,1
239,28,8,0,273,0
240,3,5,0,44,0
241,1,6,0,58,0
242,1,5,0,103,0
243,25,21,3,2841,0
244,4,4,0,43,0
245,12,16,8,5572,0
246,6,4,0,35,0
247,11,5,0,58,0
248,12,12,1,384,0
249,53,3,0,22,1
250,2,6,0,80,0
251,3,9,0,263,0
252,38,1,0,8,1
253,4,10,0,324,0
254,13,7,0,190,0
255,2,13,1,343,0
256,6,6,0,120,0
257,8,3,0,42,0
258,63,4,0,50,1
259,999,0,0,0,1
260,2,2,0,36,0
261,6,2,0,19,0
262,1,11,0,239,0
263,40,5,0,162,1
264,53,2,0,33,1
265,3,29,9,11885,0
266,11,3,0,34,0
267,2,7,0,221,0
268,999,0,0,0,1
269,208,1,0,11,1
270,39,5,0,111,1
271,10,1,0,7,0
272,15,3,0,23,0
273,31,1,0,5,1
274,20,4,0,75,0
275,1,11,2,950,0
276,999,0,0,0,1
277,1,15,1,467,0
278,49,6,0,159,1
279,4,1,0,13,0
280,6,2,0,22,0
281,251,1,0,15,1
282,7,6,0,118,0
283,14,8,0,141,0
284,48,10,0,188,1
285,16,15,0,449,0
286,24,6,0,94,0
287,148,1,0,20,1
288,200,1,0,8,1
289,9,9,0,151,0
290,999,0,0,0,1
291,33,1,0,9,1
292,999,0,0,0,1
293,21,6,0,87,0
294,44,3,0,28,1
295,8,18,7,5156,0
296,3,13,0,393,0
297,3,9,0,303,0
298,245,1,0,12,1
299,13,10,0,268,0
300,4,8,2,365,0
301,65,2,0,18,1
302,1,14,0,492,0
303,999,0,0,0,1
304,36,6,0,146,1
305,12,2,0,42,0
306,6,7,0,142,0
307,5,19,7,4687,0
308,2,7,0,100,0
309,57,1,0,19,1
310,18,19,8,6066,0
311,19,6,0,135,0
312,5,12,2,700,0
313,167,1,0,5,1
314,2,2,0,31,0
315,5,3,0,27,0
316,2,7,0,146,0
317,70,1,0,8,1
318,154,3,0,47,1
319,12,7,0,124,0
320,15,10,2,560,0
321,72,2,0,20,1
322,3,12,1,387,0
323,27,9,1,251,0
324,52,1,0,15,1
325,5,24,7,6958,0
326,3,25,13,14446,0
327,4,1,0,14,0
328,2,9,0,271,0
329,7,9,1,259,0
330,6,5,0,110,0
331,6,2,0,37,0
332,12,2,0,32,0
333,16,5,0,76,0
334,26,2,0,10,0
335,40,5,0,56,1
336,25,4,0,46,0
337,126,3,0,26,1
338,34,2,0,51,1
339,28,2,0,33,0
340,13,3,0,50,0
341,6,6,0,98,0
342,185,1,0,7,1
343,13,24,8,8764,0
344,6,9,0,278,0
345,999,0,0,0,1
346,999,0,0,0,1
347,22,11,1,326,0
348,7,5,0,122,0
349,999,0,0,0,1
350,999,0,0,0,1
351,3,3,0,33,0
352,3,2,0,21,0
353,999,0,0,0,1
354,208,1,0,6,1
355,10,10,2,875,0
356,88,2,0,14,1
357,4,24,3,3543,0
358,70,2,0,49,1
359,86,3,0,29,1
360,7,22,7,6353,0
361,12,18,6,4610,0
362,33,4,0,56,1
363,18,4,0,73,0
364,9,15,0,425,0
365,11,16,0,447,0
366,14,2,0,25,0
367,4,20,8,6553,0
368,7,7,0,118,0
369,3,29,13,14721,0
370,43,10,0,173,1
371,30,9,2,568,0
372,1,13,0,391,0
373,14,5,0,139,0
374,4,6,0,142,0
375,137,1,0,11,1
376,157,2,0,12,1
377,40,3,0,37,1
378,4,8,0,185,0
379,15,2,0,28,0
380,27,2,0,24,0
381,23,2,0,28,0
382,10,2,0,20,0
383,39,1,0,14,1
384,7,2,0,42,0
385,29,27,12,12891,0
386,19,7,1,146,0
387,48,5,0,82,1
388,40,9,0,175,1
389,26,1,0,5,0
390,999,0,0,0,1
391,28,1,0,4,0
392,115,3,0,35,1
393,101,1,0,21,1
394,10,4,0,83,0
395,4,4,0,65,0
396,34,4,0,88,1
397,60,1,0,10,1
398,7,2,0,36,0
399,33,5,0,99,1
400,17,6,0,104,0
401,50,1,0,9,1
402,45,2,0,44,1
403,3,14,0,466,0
404,41,4,1,36,1
405,36,9,0,192,1
406,11,5,0,197,0
407,193,1,0,38,1
408,14,3,0,16,0
409,8,2,0,27,0
410,8,3,0,31,0
411,79,1,0,9,1
412,10,6,0,108,0
413,2,5,0,127,0
414,3,12,0,222,0
415,20,9,0,250,0
416,59,3,0,40,1
417,7,5,0,143,0
418,130,3,0,37,1
419,178,1,0,4,1
420,6,17,8,5492,0
421,3,18,6,4150,0
422,92,4,0,42,1
423,999,0,0,0,1
424,13,9,0,242,0
425,15,5,0,110,0
426,20,20,2,1844,0
427,999,0,0,0,1
428,30,1,0,12,0
429,27,8,0,206,0
430,47,10,0,203,1
431,999,0,0,0,1
432,21,4,0,55,0
433,143,4,0,58,1
434,29,1,0,16,0
435,42,9,1,207,1
436,64,4,0,99,1
437,4,9,0,187,0
438,22,3,0,24,0
439,80,1,0,11,1
440,33,2,0,16,1
441,5,11,5,2714,0
442,24,2,0,15,0
443,8,9,0,198,0
444,240,2,0,15,1
445,47,5,0,84,1
446,14,7,0,218,0
447,3,20,5,4234,0
448,65,2,0,21,1
449,30,2,0,21,0
450,999,0,0,0,1
451,50,1,0,18,1
452,188,6,0,90,1
453,41,3,0,23,1
454,29,2,0,36,0
455,10,10,0,304,0
456,139,1,0,7,1
457,84,4,0,53,1
458,23,4,0,70,0
459,40,4,0,103,1
460,169,2,0,35,1
461,2,14,0,437,0
462,43,1,0,11,1
463,6,8,1,303,0
464,13,10,1,251,0
465,265,1,0,16,1
466,123,3,0,38,1
467,5,4,0,53,0
468,25,1,0,8,0
469,6,21,3,2162,0
470,3,28,9,10132,0
471,8,2,0,15,0
472,999,0,0,0,1
473,7,12,0,352,0
474,113,3,0,65,1
475,22,5,0,81,0
476,37,1,0,9,1
477,13,8,0,192,0
478,58,3,0,46,1
479,2,7,0,93,0
480,101,4,0,92,1
481,37,4,0,54,1
482,3,13,1,446,0
483,26,4,0,57,0
484,35,2,0,41,1
485,58,18,7,4740,1
486,59,3,0,48,1
487,6,2,0,22,0
488,999,0,0,0,1
489,11,8,0,193,0
490,293,1,0,4,1
